"time","lat","lng","speed","altitude"
"1557619154","42.5675","-72.42607","32.0","29153.51"
"1557619213","42.57008","-72.41983","36.0","29498.54"
"1557619276","42.57493","-72.41512","38.0","29855.46"
"1557619333","42.58135","-72.40972","53.0","30176.42"
"1557619397","42.58598","-72.4024","44.0","30549.49"
"1557619457","42.58907","-72.39564","39.0","30238.6"
"1557619517","42.58855","-72.39482","5.0","27643.53"
"1557619578","42.58723","-72.38874","31.0","25568.45"
"1557619635","42.58719","-72.38737","7.0","23748.49"
"1557619694","42.58685","-72.3832","206.0","22253.45"
"1557619757","42.58732","-72.37924","19.0","20967.5"
"1557619814","42.58812","-72.37131","41.0","19853.76"
"1557619875","42.58878","-72.36381","36.0","18814.69"
"1557619934","42.59056","-72.35565","42.0","18030.75"
"1557619997","42.59234","-72.34832","36.0","17230.65"
"1557620055","42.58806","-72.33442","77.0","16417.75"
"1557620115","42.58658","-72.31401","101.0","15618.56"
"1557620174","42.58435","-72.29","121.0","14873.63"
"1557620235","42.58502","-72.26308","130.0","14009.83"
"1557620296","42.58416","-72.23355","143.0","13206.68"
"1557620353","42.58437","-72.19374","206.0","12513.56"
"1557620414","42.58623","-72.15299","197.0","11794.85"
"1557620477","42.58178","-72.11311","189.0","11098.68"
"1557620534","42.57748","-72.07186","215.0","10506.76"
"1557620596","42.57441","-72.03232","189.0","9906.61"
"1557620653","42.5741","-71.9989","173.0","9460.69"
"1557620716","42.57316","-71.96236","171.0","9038.84"
"1557620775","42.57405","-71.93252","149.0","8643.82"
"1557620833","42.57508","-71.89888","171.0","8254.9"
"1557620896","42.57504","-71.86378","164.0","7859.88"
"1557620956","42.57442","-71.8355","139.0","7470.65"
"1557621016","42.57428","-71.80591","145.0","7113.73"
"1557621077","42.57378","-71.77595","145.0","6762.9"
"1557621133","42.57133","-71.75251","125.0","6426.71"
"1557621196","42.57141","-71.72691","120.0","6058.81"
"1557621257","42.57153","-71.70252","118.0","5695.8"
"1557621314","42.57187","-71.68194","106.0","5377.89"
