---------------------------------------------------------------------------------------------------------
time , latd , long , t_utc , time , altd , eps , epx , epv , ept , speed , climb , track , mode , satlt
date
1557451329.72, 42.295413333, -71.30265, 2019-05-10T01:22:09.000Z, 2019-05-10T01:22:09.000Z, 103.9, 73.13, 13.508, 22.08, 0.005, 0.216, 0.0, 329.32, 3, 8
1557451334.73, 42.295421667, -71.30265, 2019-05-10T01:22:14.000Z, 1557451334.0, 103.9, 73.13, 13.508, 22.08, 0.005, 0.134, 0.0, 13.8, 3, 8
1557451339.73, 42.295428333, -71.302648333, 2019-05-10T01:22:19.000Z, 2019-05-10T01:22:19.000Z, 103.9, 73.13, 13.508, 76.82, 0.005, 0.201, 0.0, 66.14, 3, 8
1557451344.74, 42.29543, -71.302638333, 2019-05-10T01:22:24.000Z, 1557451344.0, 103.9, 73.13, 13.508, 22.08, 0.005, 0.118, 0.0, 92.58, 3, 8
1557451349.74, 42.295428333, -71.302633333, 2019-05-10T01:22:29.000Z, 2019-05-10T01:22:29.000Z, 103.9, 73.13, 13.508, 22.08, 0.005, 0.093, 0.0, 135.8, 3, 8
1557451354.75, 42.295421667, -71.302626667, 2019-05-10T01:22:34.000Z, 1557451354.0, 103.9, 73.13, 13.508, 22.08, 0.005, 0.185, 0.0, 153.73, 3, 8
1557451359.76, 42.295416667, -71.302623333, 2019-05-10T01:22:39.000Z, 2019-05-10T01:22:39.000Z, 103.9, 73.13, 13.508, 22.08, 0.005, 0.077, 0.0, 190.95, 3, 8
1557451364.76, 42.295413333, -71.302625, 2019-05-10T01:22:44.000Z, 1557451364.0, 103.9, 73.13, 13.508, 22.08, 0.005, 0.093, 0.0, 228.26, 3, 8
1557451369.77, 42.29541, -71.30263, 2019-05-10T01:22:49.000Z, 2019-05-10T01:22:49.000Z, 103.9, 73.13, 13.508, 22.08, 0.005, 0.067, 0.0, 221.66, 3, 8
1557451374.77, 42.295398333, -71.302643333, 2019-05-10T01:22:54.000Z, 1557451374.0, 103.8, 73.13, 13.508, 20.01, 0.005, 0.237, 0.0, 256.01, 3, 8
1557451379.78, 42.295396667, -71.30265, 2019-05-10T01:22:59.000Z, 2019-05-10T01:22:59.000Z, 103.8, 73.13, 13.508, 20.01, 0.005, 0.036, 0.0, 297.06, 3, 8
1557451384.78, 42.295398333, -71.302653333, 2019-05-10T01:23:04.000Z, 1557451384.0, 103.7, 73.13, 13.508, 19.78, 0.005, 0.067, -0.1, 273.27, 3, 8
1557451389.79, 42.295398333, -71.302656667, 2019-05-10T01:23:09.000Z, 2019-05-10T01:23:09.000Z, 103.7, 73.13, 13.508, 19.78, 0.005, 0.087, 0.0, 226.61, 3, 8
1557451394.79, 42.29539, -71.302663333, 2019-05-10T01:23:14.000Z, 1557451394.0, 103.7, 73.13, 13.508, 19.78, 0.005, 0.185, 0.0, 193.74, 3, 8
1557451399.8, 42.295381667, -71.302663333, 2019-05-10T01:23:19.000Z, 2019-05-10T01:23:19.000Z, 103.6, 73.13, 13.508, 19.78, 0.005, 0.185, 0.0, 174.43, 3, 8
1557451404.8, 42.295365, -71.302663333, 2019-05-10T01:23:24.000Z, 1557451404.0, 103.4, 73.13, 13.508, 19.78, 0.005, 0.314, -0.2, 180.76, 3, 8
1557451409.81, 42.295353333, -71.302663333, 2019-05-10T01:23:29.000Z, 2019-05-10T01:23:29.000Z, 102.7, 73.13, 13.508, 19.78, 0.005, 0.237, -0.1, 196.05, 3, 7
1557451414.81, 42.295341667, -71.302663333, 2019-05-10T01:23:34.000Z, 1557451414.0, 102.6, 73.13, 13.508, 19.78, 0.005, 0.18, 0.0, 191.42, 3, 7
1557451419.82, 42.295333333, -71.30267, 2019-05-10T01:23:39.000Z, 2019-05-10T01:23:39.000Z, 102.6, 73.13, 13.508, 19.78, 0.005, 0.216, 0.0, 226.22, 3, 7
1557451424.82, 42.29533, -71.30268, 2019-05-10T01:23:44.000Z, 1557451424.0, 102.5, 73.13, 13.508, 19.78, 0.005, 0.18, 0.0, 279.28, 3, 7
1557451429.83, 42.295336667, -71.302691667, 2019-05-10T01:23:49.000Z, 2019-05-10T01:23:49.000Z, 102.5, 73.13, 13.508, 19.78, 0.005, 0.309, 0.0, 317.53, 3, 7
1557451434.84, 42.295345, -71.302708333, 2019-05-10T01:23:54.000Z, 1557451434.0, 101.8, 73.13, 13.508, 20.7, 0.005, 0.319, -0.2, 309.63, 3, 7
1557451439.84, 42.295335, -71.302698333, 2019-05-10T01:23:59.000Z, 2019-05-10T01:23:59.000Z, 101.2, 73.13, 13.508, 20.7, 0.005, 0.159, -0.1, 335.11, 3, 7
1557451444.85, 42.295323333, -71.302688333, 2019-05-10T01:24:04.000Z, 1557451444.0, 101.1, 73.13, 13.508, 20.7, 0.005, 0.113, 0.0, 152.91, 3, 7
1557451449.85, 42.295318333, -71.302685, 2019-05-10T01:24:09.000Z, 2019-05-10T01:24:09.000Z, 101.1, 73.13, 13.508, 19.78, 0.005, 0.185, 0.0, 150.51, 3, 7
1557451454.86, 42.295313333, -71.302671667, 2019-05-10T01:24:14.000Z, 1557451454.0, 101.0, 73.13, 13.508, 19.78, 0.005, 0.329, 0.0, 104.03, 3, 7
1557451459.86, 42.295291667, -71.302621667, 2019-05-10T01:24:19.000Z, 2019-05-10T01:24:19.000Z, 100.1, 73.13, 13.508, 19.78, 0.005, 0.401, -0.2, 127.05, 3, 9
1557451464.87, 42.295256667, -71.302596667, 2019-05-10T01:24:24.000Z, 1557451464.0, 99.2, 73.13, 13.508, 19.78, 0.005, 0.448, -0.1, 140.03, 3, 9
1557451469.88, 42.295211667, -71.302583333, 2019-05-10T01:24:29.000Z, 2019-05-10T01:24:29.000Z, 98.5, 73.13, 13.508, 19.78, 0.005, 0.478, -0.1, 157.32, 3, 9
1557451474.88, 42.295185, -71.30259, 2019-05-10T01:24:34.000Z, 1557451474.0, 97.9, 73.13, 13.508, 19.78, 0.005, 0.463, -0.1, 167.58, 3, 9
1557451479.89, 42.295158333, -71.302593333, 2019-05-10T01:24:39.000Z, 2019-05-10T01:24:39.000Z, 97.4, 73.13, 13.508, 19.78, 0.005, 0.489, -0.1, 177.33, 3, 9
1557451484.89, 42.29514, -71.302625, 2019-05-10T01:24:44.000Z, 1557451484.0, 96.9, 73.13, 13.508, 19.78, 0.005, 0.473, -0.1, 203.5, 3, 9
1557451489.9, 42.295133333, -71.302651667, 2019-05-10T01:24:49.000Z, 2019-05-10T01:24:49.000Z, 95.9, 73.13, 13.508, 19.78, 0.005, 0.309, -0.4, 203.71, 3, 9
1557451494.91, 42.295106667, -71.302631667, 2019-05-10T01:24:54.000Z, 1557451494.0, 95.3, 73.13, 13.508, 19.78, 0.005, 0.329, 0.0, 161.22, 3, 9
1557451499.91, 42.295098333, -71.302613333, 2019-05-10T01:24:59.000Z, 2019-05-10T01:24:59.000Z, 95.1, 73.13, 13.508, 19.78, 0.005, 0.35, -0.1, 154.23, 3, 9
1557451504.92, 42.295086667, -71.302588333, 2019-05-10T01:25:04.000Z, 1557451504.0, 95.0, 73.13, 13.508, 19.78, 0.005, 0.401, 0.0, 150.19, 3, 9
1557451509.92, 42.295061667, -71.30255, 2019-05-10T01:25:09.000Z, 2019-05-10T01:25:09.000Z, 94.8, 73.13, 13.508, 19.78, 0.005, 0.53, -0.1, 158.07, 3, 9
1557451514.93, 42.295058333, -71.30254, 2019-05-10T01:25:14.000Z, 1557451514.0, 94.6, 73.13, 13.508, 19.78, 0.005, 0.365, -0.1, 145.91, 3, 9
1557451519.94, 42.295028333, -71.302498333, 2019-05-10T01:25:19.000Z, 2019-05-10T01:25:19.000Z, 94.4, 73.13, 13.508, 19.78, 0.005, 0.319, 0.0, 131.27, 3, 9
1557451524.94, 42.295, -71.302441667, 2019-05-10T01:25:24.000Z, 1557451524.0, 93.9, 73.13, 13.508, 20.01, 0.005, 0.329, -0.2, 138.09, 3, 9
1557451529.95, 42.294988333, -71.302416667, 2019-05-10T01:25:29.000Z, 2019-05-10T01:25:29.000Z, 93.6, 73.13, 13.508, 20.01, 0.005, 0.319, -0.1, 121.01, 3, 9
1557451534.95, 42.294995, -71.302433333, 2019-05-10T01:25:34.000Z, 1557451534.0, 93.6, 73.13, 13.508, 22.31, 0.005, 0.18, 0.0, 161.92, 3, 9
1557451539.96, 42.294995, -71.302438333, 2019-05-10T01:25:39.000Z, 2019-05-10T01:25:39.000Z, 93.6, 73.13, 13.508, 19.78, 0.005, 0.391, 0.0, 307.78, 3, 9
1557451544.97, 42.295141667, -71.302573333, 2019-05-10T01:25:44.000Z, 1557451544.0, 92.6, 73.13, 13.508, 19.78, 0.005, 1.029, -0.2, 318.48, 3, 9
1557451549.97, 42.295206667, -71.302645, 2019-05-10T01:25:49.000Z, 2019-05-10T01:25:49.000Z, 92.2, 73.13, 13.508, 19.78, 0.005, 1.147, 0.0, 319.36, 3, 9
1557451554.98, 42.29522, -71.302661667, 2019-05-10T01:25:54.000Z, 1557451554.0, 92.0, 73.13, 13.508, 19.78, 0.005, 0.839, 0.0, 321.23, 3, 9
1557451559.98, 42.295211667, -71.302661667, 2019-05-10T01:25:59.000Z, 2019-05-10T01:25:59.000Z, 92.0, 73.13, 13.508, 19.78, 0.005, 0.617, 0.0, 316.55, 3, 9
1557451564.99, 42.2952, -71.302646667, 2019-05-10T01:26:04.000Z, 1557451564.0, 91.6, 73.13, 13.508, 19.78, 0.005, 0.406, -0.3, 313.83, 3, 9
1557451569.99, 42.295196667, -71.30265, 2019-05-10T01:26:09.000Z, 2019-05-10T01:26:09.000Z, 91.1, 73.13, 13.508, 19.78, 0.005, 0.304, 0.0, 305.32, 3, 9
1557451575.0, 42.29519, -71.302635, 2019-05-10T01:26:14.000Z, 1557451574.0, 90.8, 73.13, 13.508, 19.78, 0.005, 0.159, 0.0, 318.25, 3, 9
1557451580.01, 42.295251667, -71.302693333, 2019-05-10T01:26:19.000Z, 2019-05-10T01:26:19.000Z, 90.4, 73.13, 13.508, 19.78, 0.005, 0.468, -0.2, 320.67, 3, 9
1557451585.01, 42.295311667, -71.30275, 2019-05-10T01:26:24.000Z, 1557451584.0, 90.2, 73.13, 13.508, 19.78, 0.005, 0.561, -0.1, 331.08, 3, 9
1557451590.02, 42.29533, -71.30277, 2019-05-10T01:26:29.000Z, 2019-05-10T01:26:29.000Z, 89.9, 73.13, 13.508, 19.78, 0.005, 0.432, -0.1, 324.99, 3, 9
1557451595.02, 42.295336667, -71.302783333, 2019-05-10T01:26:34.000Z, 1557451594.0, 89.6, 73.13, 13.508, 19.78, 0.005, 0.278, -0.1, 307.6, 3, 9
1557451600.03, 42.295346667, -71.302786667, 2019-05-10T01:26:39.000Z, 2019-05-10T01:26:39.000Z, 89.3, 73.13, 13.508, 19.78, 0.005, 0.134, 0.0, 319.25, 3, 9
1557451605.03, 42.295351667, -71.302786667, 2019-05-10T01:26:44.000Z, 1557451604.0, 89.3, 73.13, 13.508, 38.41, 0.005, 0.077, 0.0, 352.71, 3, 9
1557451610.03, 42.29535, -71.302788333, 2019-05-10T01:26:49.000Z, 2019-05-10T01:26:49.000Z, 89.3, 73.13, 13.508, 19.78, 0.005, 0.072, 0.0, 163.7, 3, 9
1557451615.04, 42.295346667, -71.302786667, 2019-05-10T01:26:54.000Z, 1557451614.0, 89.3, 73.13, 13.508, 19.78, 0.005, 0.139, 0.0, 167.5, 3, 9
1557451620.05, 42.295338333, -71.30278, 2019-05-10T01:26:59.000Z, 2019-05-10T01:26:59.000Z, 89.3, 73.13, 13.508, 19.78, 0.005, 0.273, 0.0, 130.73, 3, 9
1557451625.05, 42.29532, -71.30277, 2019-05-10T01:27:04.000Z, 1557451624.0, 89.2, 73.13, 13.508, 19.78, 0.005, 0.211, 0.0, 122.61, 3, 9
1557451630.06, 42.295315, -71.302756667, 2019-05-10T01:27:09.000Z, 2019-05-10T01:27:09.000Z, 89.2, 73.13, 13.508, 19.78, 0.005, 0.237, 0.0, 116.33, 3, 9
1557451635.06, 42.29531, -71.302751667, 2019-05-10T01:27:14.000Z, 1557451634.0, 89.2, 73.13, 13.508, 19.78, 0.005, 0.098, 0.0, 219.96, 3, 9
1557451640.07, 42.295303333, -71.302753333, 2019-05-10T01:27:19.000Z, 2019-05-10T01:27:19.000Z, 89.2, 73.13, 13.508, 19.78, 0.005, 0.165, 0.0, 175.97, 3, 9
1557451645.07, 42.2953, -71.302755, 2019-05-10T01:27:24.000Z, 1557451644.0, 89.2, 73.13, 13.508, 19.78, 0.005, 0.103, 0.0, 60.58, 3, 9
1557451650.08, 42.295305, -71.302755, 2019-05-10T01:27:29.000Z, 2019-05-10T01:27:29.000Z, 89.2, 73.13, 13.508, 19.78, 0.005, 0.195, 0.0, 304.15, 3, 9
1557451655.09, 42.295303333, -71.302751667, 2019-05-10T01:27:34.000Z, 1557451654.0, 89.1, 73.13, 13.508, 19.78, 0.005, 0.113, 0.0, 211.14, 3, 9
1557451660.09, 42.295301667, -71.302746667, 2019-05-10T01:27:39.000Z, 2019-05-10T01:27:39.000Z, 89.1, 73.13, 13.508, 19.78, 0.005, 0.144, 0.0, 110.44, 3, 9
1557451665.1, 42.295303333, -71.302746667, 2019-05-10T01:27:44.000Z, 1557451664.0, 89.0, 73.13, 13.508, 19.78, 0.005, 0.093, 0.0, 275.16, 3, 9
1557451670.11, 42.295301667, -71.302743333, 2019-05-10T01:27:49.000Z, 2019-05-10T01:27:49.000Z, 88.4, 73.13, 13.508, 19.78, 0.005, 0.35, -0.2, 309.02, 3, 9
1557451675.11, 42.295296667, -71.302725, 2019-05-10T01:27:54.000Z, 1557451674.0, 87.2, 73.13, 13.508, 19.78, 0.005, 0.175, -0.4, 260.29, 3, 9
1557451680.12, 42.295298333, -71.302718333, 2019-05-10T01:27:59.000Z, 2019-05-10T01:27:59.000Z, 86.8, 73.13, 13.508, 19.78, 0.005, 0.041, 0.0, 281.81, 3, 9
1557451685.12, 42.295301667, -71.302716667, 2019-05-10T01:28:04.000Z, 1557451684.0, 86.6, 73.13, 13.508, 19.78, 0.005, 0.432, -0.1, 332.2, 3, 9
1557451690.13, 42.295308333, -71.302726667, 2019-05-10T01:28:09.000Z, 2019-05-10T01:28:09.000Z, 86.1, 73.13, 13.508, 19.78, 0.005, 0.314, -0.1, 348.89, 3, 9
1557451695.14, 42.29531, -71.30274, 2019-05-10T01:28:14.000Z, 1557451694.0, 85.8, 73.13, 13.508, 19.55, 0.005, 0.412, 0.0, 269.44, 3, 10
1557451700.14, 42.29532, -71.302736667, 2019-05-10T01:28:19.000Z, 2019-05-10T01:28:19.000Z, 85.5, 73.13, 13.508, 19.55, 0.005, 0.422, -0.1, 354.56, 3, 10
1557451705.15, 42.295318333, -71.302751667, 2019-05-10T01:28:24.000Z, 1557451704.0, 85.3, 73.13, 13.508, 19.55, 0.005, 0.34, 0.0, 215.07, 3, 10
1557451710.15, 42.295313333, -71.30275, 2019-05-10T01:28:29.000Z, 2019-05-10T01:28:29.000Z, 85.0, 73.13, 13.508, 19.55, 0.005, 0.211, -0.1, 60.56, 3, 10
1557451715.16, 42.29534, -71.30273, 2019-05-10T01:28:34.000Z, 1557451714.0, 85.0, 73.13, 13.508, 19.55, 0.005, 0.741, 0.1, 22.72, 3, 10
