Chip ID     : 96
Version     : 0
Time, Temperature (C), Pressure (hPa), Humidity (%):
1557189631.45 , 23.58 , 1016.23143189 , 30.6104814118
1557189633.57 , 23.59 , 1016.28886751 , 30.5896908165
1557189635.68 , 23.57 , 1016.35033943 , 30.4762845265
1557189637.78 , 23.57 , 1016.27833036 , 30.5073142061
1557189639.89 , 23.58 , 1016.26375642 , 30.4968859656
1557189642.0 , 23.57 , 1016.20632198 , 30.4660160124
1557189644.11 , 23.57 , 1016.21988659 , 30.5538417453
1557189646.21 , 23.56 , 1016.27933917 , 30.4815788076
1557189648.35 , 23.56 , 1016.27515388 , 30.579766691
1557189650.46 , 23.54 , 1016.25004233 , 30.4301422832
1557189652.56 , 23.54 , 1016.27717063 , 30.4404744168
1557189654.67 , 23.54 , 1016.2458571 , 30.6109813635
1557189656.78 , 23.54 , 1016.18741579 , 30.4870325057
1557189658.88 , 23.54 , 1016.26461461 , 30.5852151476
1557189660.99 , 23.54 , 1016.25105063 , 30.5438888751
1557189663.1 , 23.55 , 1016.30848441 , 30.6729083279
1557189665.24 , 23.53 , 1016.22911623 , 30.5232889976
1557189667.35 , 23.53 , 1016.27399321 , 30.5852465175
1557189669.48 , 23.55 , 1016.25422757 , 30.595421371
1557189671.61 , 23.53 , 1016.26111516 , 30.6524955947
1557189673.72 , 23.53 , 1016.2475514 , 30.5595147648
1557189675.83 , 23.53 , 1016.26111516 , 30.5956742756
1557189677.93 , 23.55 , 1016.24903377 , 30.5695290543
1557189680.05 , 23.54 , 1016.29592803 , 30.5386914184
1557189682.18 , 23.53 , 1016.25173671 , 30.6059742497
1557189684.28 , 23.53 , 1016.24268009 , 30.5956092575
1557189686.39 , 23.54 , 1016.27817859 , 30.6162095256
1557189688.5 , 23.54 , 1016.22810784 , 30.528359698
1557189690.6 , 23.52 , 1016.27568632 , 30.569940432
1557189692.71 , 23.54 , 1016.26461461 , 30.5645520735
1557189694.81 , 23.53 , 1016.31468504 , 30.6472346399
1557189696.92 , 23.53 , 1016.28755715 , 30.5490862627
1557189699.06 , 23.53 , 1016.30180647 , 30.6111710922
1557189701.17 , 23.53 , 1016.22911623 , 30.6162719092
1557189703.27 , 23.53 , 1016.26111516 , 30.5336863097
1557189705.38 , 23.52 , 1016.28506443 , 30.5389785055
1557189707.49 , 23.51 , 1016.25894458 , 30.6113895336
1557189709.59 , 23.52 , 1016.28924993 , 30.5544436943
1557189711.7 , 23.5 , 1016.26832249 , 30.6527433451
1557189713.81 , 23.52 , 1016.31219154 , 30.5389785055
1557189715.95 , 23.49 , 1016.29227002 , 30.6528671643
1557189718.05 , 23.5 , 1016.31001881 , 30.5908531657
1557189720.16 , 23.51 , 1016.3173838 , 30.6061929138
1557189722.27 , 23.5 , 1016.33613921 , 30.6992306927
1557189724.37 , 23.5 , 1016.28707802 , 30.7302829376
1557189726.48 , 23.5 , 1016.31420449 , 30.7044572391
1557189728.59 , 23.5 , 1016.31001881 , 30.5960184624
1557189730.7 , 23.49 , 1016.2703358 , 30.7045798599
1557189732.83 , 23.49 , 1016.2432098 , 30.5806166346
1557189734.93 , 23.5 , 1016.26932928 , 30.6786621525
1557189737.07 , 23.49 , 1016.29746182 , 30.6322685223
1557189739.2 , 23.48 , 1016.33915634 , 30.6375267596
1557189741.31 , 23.48 , 1016.32977927 , 30.622000447
1557189743.41 , 23.49 , 1016.32040211 , 30.7201055093
1557189745.52 , 23.48 , 1016.30265344 , 30.6943111764
1557189747.63 , 23.47 , 1016.29947341 , 30.684104202
1557189749.75 , 23.46 , 1016.2743592 , 30.5913224981
