


Found LSM9DS1
Time, AccXangle, AccYangle, gyroXangle, gyroYangle, gyroZangle, CFangleX, CFangleY, heading, tiltCompensatedHeading, kalmanX, kalmanY
(1557189436.722023, 89.19871342793189, -87.43622823705027, -20.481223700000005, -13.66706936, -10.96819248, 88.71441203948733, -88.12883522058733, 300.0489905030005, 57.02140429519726, 88.69906380557325, -88.51635670671007)
(1557189437.842571, 89.6874002344933, -89.00488648025544, -21.561278690000005, -14.35592333, -11.50396779, 88.8661829604909, -88.9300075643882, 301.09790353347296, 54.24774533915125, 88.82916230824603, -89.05674415976678)
(1557189438.964272, 89.68885528974634, -89.00488648025544, -22.635235140000006, -15.03243133, -12.045174190000001, 88.93020377804416, -89.24553811390854, 300.36906220266087, 58.41836053623578, 88.9156526909887, -89.31765387893418)
(1557189440.085174, 89.73268180249094, -89.13194701318048, -23.706853520000006, -15.66527683, -12.644267930000002, 88.98304324071222, -89.43052165347171, 299.9944766813786, 55.21827285986583, 88.99585390457291, -89.48357056056442)
(1557189441.205796, 89.86685821596667, -89.56594783447491, -24.786426000000006, -16.37374627, -13.217790810000002, 89.0815032338649, -89.79516513807363, 299.6429220704146, 58.43620195667126, 89.11327139959626, -89.8158464631026)
(1557189442.326369, 88.9432081748191, -87.26684779944617, -26.176278030000006, -17.28901468, -13.963565070000001, 88.44258538643743, -88.64428209889715, 299.89983546600797, 57.76562367356281, 88.66542798609572, -88.76061776684287)
(1557189443.487943, 89.73351068652538, -89.13194701318048, -27.197726150000005, -17.95591056, -14.529160310000002, 88.80856131849019, -89.20363939946715, 299.65445074797435, 59.10745191826215, 88.95001034788184, -89.18096901262224)
(1557189444.608696, 89.42127519432255, -88.12919339593009, -28.337651300000005, -18.65675343, -15.086457050000002, 88.7202195839896, -88.83930894534492, 300.5775320820759, 55.22973137202342, 88.87787969535664, -88.89070752399661)
(1557189445.729396, 89.59933750565138, -88.68476519815096, -29.409109660000006, -19.314814469999998, -15.660151290000002, 88.81910699298666, -89.00980711302856, 299.8033084181234, 58.21457409410933, 88.97679723022472, -88.99587947664524)
(1557189446.850027, 89.46328784568546, -88.26866325424618, -30.421368460000007, -19.98121818, -16.21689363, 88.80071198460594, -88.83168228175913, 299.8241285209765, 58.1825136203356, 88.99888710060586, -88.83292366415313)
(1557189447.970632, 89.51182235380368, -88.40885818558641, -31.493822500000007, -20.6652243, -16.74889839, 88.79839659012458, -88.8515902720555, 300.00596878543934, 57.81373020849264, 89.01615861588404, -88.81959378494437)
(1557189449.091585, 89.51408058795286, -88.40885818558641, -33.24778450000001, -21.878381349999998, -17.69896114, 88.52622218882155, -89.07121384017405, 300.26578648836005, 58.37163316862241, 89.0132503374766, -88.87077875612322)
(1557189450.300263, 89.42172448489302, -88.10057944152692, -34.31031226000001, -22.59516595, -18.247090540000002, 88.63851246246443, -88.77554704098577, 300.1137331509824, 56.57986261824002, 89.02506329959729, -88.65046997344726)
(1557189451.420868, 89.19933546441, -87.36420203827618, -35.35578354000001, -23.27809477, -18.769826180000003, 88.55681775163177, -88.20191156736001, 300.0471609277978, 55.734042524428325, 88.92361475808401, -88.14801386600074)
(1557189452.541384, 88.79510464562667, -86.82816159624318, -35.958545420000014, -23.812502209999998, -19.322875740000004, 88.4586851360287, -87.59142456068992, 299.7289347959587, 59.74698789995659, 88.80348847162854, -87.64639914366116)
(1557189453.630302, 89.73288950652172, -89.14702258267172, -36.59512710000001, -24.27645157, -19.743667020000004, 88.9685750863245, -88.710363117879, 299.81333500333596, 57.56833974570569, 89.10561206605927, -88.42350811750346)
(1557189454.706759, 89.28662713934794, -87.62640264789479, -37.41782142000001, -24.83797309, -20.155014180000002, 88.83032859013858, -88.28459544388846, 300.10184313063183, 58.86775025977624, 89.03646658116105, -88.1898424832745)
(1557189455.800584, 89.7320567477689, -89.13847272841423, -38.11323432000001, -25.30871413, -20.4973713, 89.09320032471678, -88.98521823060392, 300.52018516563936, 56.03447576376211, 89.20794162841929, -88.72187786280782)
(1557189456.877069, 89.42037451554123, -88.11975165051399, -38.80839592000001, -25.76491393, -20.8666759, 89.01144019921145, -88.64841820254996, 299.3416547009803, 56.56704835448992, 89.1751688977497, -88.56549867431279)
(1557189457.954793, 89.64385442718476, -88.84266539233812, -39.48641578000001, -26.19002162, -21.221829160000002, 89.11968079199544, -88.93500959242286, 299.9758680934527, 58.82599334017257, 89.26400324143995, -88.7721189195746)
(1557189459.031722, 89.60088800980493, -88.68476519815096, -40.15367342000001, -26.62589153, -21.566220200000004, 89.14150206668114, -88.95921091985971, 300.0427300196994, 58.5024382642492, 89.30640394630255, -88.82702214252414)
