267181,, 16.50  ;;--;;  267181,, 16.50  ;;--;;  267181,, 16.500000
267183,, 15.50  ;;--;;  267183,, 15.50  ;;--;;  267183,, 15.500000
267184,, 15.25  ;;--;;  267184,, 15.25  ;;--;;  267184,, 15.250000
267186,, 16.00  ;;--;;  267186,, 16.00  ;;--;;  267186,, 16.000000
267187,, 16.75  ;;--;;  267187,, 16.75  ;;--;;  267187,, 16.750000
267189,, 18.75  ;;--;;  267189,, 18.75  ;;--;;  267189,, 18.750000
267190,, 17.75  ;;--;;  267190,, 17.75  ;;--;;  267190,, 17.750000
267191,, 20.50  ;;--;;  267191,, 20.50  ;;--;;  267191,, 20.500000
267193,, 15.75  ;;--;;  267193,, 15.75  ;;--;;  267193,, 15.750000
267194,, 15.25  ;;--;;  267194,, 15.25  ;;--;;  267194,, 15.250000
267195,, 16.00  ;;--;;  267195,, 16.00  ;;--;;  267195,, 16.000000
267197,, 17.25  ;;--;;  267197,, 17.25  ;;--;;  267197,, 17.250000
267198,, 16.25  ;;--;;  267198,, 16.25  ;;--;;  267198,, 16.250000
267200,, 16.75  ;;--;;  267200,, 16.75  ;;--;;  267200,, 16.750000
267201,, 16.75  ;;--;;  267201,, 16.75  ;;--;;  267201,, 16.750000
267203,, 15.75  ;;--;;  267203,, 15.75  ;;--;;  267203,, 15.750000
267204,, 17.00  ;;--;;  267204,, 17.00  ;;--;;  267204,, 17.000000
267206,, 14.25  ;;--;;  267206,, 14.25  ;;--;;  267206,, 14.250000
267207,, 15.50  ;;--;;  267207,, 15.50  ;;--;;  267207,, 15.500000
267209,, 15.75  ;;--;;  267209,, 15.75  ;;--;;  267209,, 15.750000
267210,, 16.00  ;;--;;  267210,, 16.00  ;;--;;  267210,, 16.000000
267212,, 16.00  ;;--;;  267212,, 16.00  ;;--;;  267212,, 16.000000
267213,, 18.25  ;;--;;  267213,, 18.25  ;;--;;  267213,, 18.250000
267215,, 19.00  ;;--;;  267215,, 19.00  ;;--;;  267215,, 19.000000
267216,, 18.25  ;;--;;  267216,, 18.25  ;;--;;  267216,, 18.250000
267217,, 18.25  ;;--;;  267217,, 18.25  ;;--;;  267217,, 18.250000
267218,, 16.00  ;;--;;  267218,, 16.00  ;;--;;  267218,, 16.000000
267220,, 18.50  ;;--;;  267220,, 18.50  ;;--;;  267220,, 18.500000
267221,, -3.75  ;;--;;  267221,, -3.75  ;;--;;  267221,, -3.750000
267223,, -7.00  ;;--;;  267223,, -7.00  ;;--;;  267223,, -7.000000
267224,, -5.50  ;;--;;  267224,, -5.50  ;;--;;  267224,, -5.500000
267226,, 14.25  ;;--;;  267226,, 14.25  ;;--;;  267226,, 14.250000
267227,, 15.25  ;;--;;  267227,, 15.25  ;;--;;  267227,, 15.250000
267229,, 16.00  ;;--;;  267229,, 16.00  ;;--;;  267229,, 16.000000
267230,, 16.50  ;;--;;  267230,, 16.50  ;;--;;  267230,, 16.500000
267232,, 17.50  ;;--;;  267232,, 17.50  ;;--;;  267232,, 17.500000
267233,, 17.00  ;;--;;  267233,, 17.00  ;;--;;  267233,, 17.000000
267235,, 16.75  ;;--;;  267235,, 16.75  ;;--;;  267235,, 16.750000
267236,, 17.75  ;;--;;  267236,, 17.75  ;;--;;  267236,, 17.750000
267238,, 17.25  ;;--;;  267238,, 17.25  ;;--;;  267238,, 17.250000
267239,, 18.00  ;;--;;  267239,, 18.00  ;;--;;  267239,, 18.000000
267241,, 19.50  ;;--;;  267241,, 19.50  ;;--;;  267241,, 19.500000
267241,, 10.25  ;;--;;  267241,, 10.25  ;;--;;  267241,, 10.250000
267243,, 14.25  ;;--;;  267243,, 14.25  ;;--;;  267243,, 14.250000
267244,, 13.50  ;;--;;  267244,, 13.50  ;;--;;  267244,, 13.500000
267246,, 14.50  ;;--;;  267246,, 14.50  ;;--;;  267246,, 14.500000
267247,, 14.50  ;;--;;  267247,, 14.50  ;;--;;  267247,, 14.500000
267249,, 11.75  ;;--;;  267249,, 11.75  ;;--;;  267249,, 11.750000
267250,, 13.50  ;;--;;  267250,, 13.50  ;;--;;  267250,, 13.500000
267252,, 14.50  ;;--;;  267252,, 14.50  ;;--;;  267252,, 14.500000
267253,, 14.50  ;;--;;  267253,, 14.50  ;;--;;  267253,, 14.500000
267255,, 13.50  ;;--;;  267255,, 13.50  ;;--;;  267255,, 13.500000
267256,, 13.00  ;;--;;  267256,, 13.00  ;;--;;  267256,, 13.000000
267258,, 12.50  ;;--;;  267258,, 12.50  ;;--;;  267258,, 12.500000
267259,, 11.75  ;;--;;  267259,, 11.75  ;;--;;  267259,, 11.750000
267261,, 12.25  ;;--;;  267261,, 12.25  ;;--;;  267261,, 12.250000
