246401,, 403,, 0,, 25.00  ;;--;;  246401,, 403,, 0,, 25.00
246406,, 403,, 0,, 25.00  ;;--;;  246406,, 403,, 0,, 25.00
246411,, 409,, 1,, 25.36  ;;--;;  246411,, 409,, 1,, 25.36
246416,, 403,, 0,, 25.36  ;;--;;  246416,, 403,, 0,, 25.36
246421,, 409,, 1,, 25.00  ;;--;;  246421,, 409,, 1,, 25.00
246426,, 403,, 0,, 25.00  ;;--;;  246426,, 403,, 0,, 25.00
246431,, 400,, 0,, 25.00  ;;--;;  246431,, 400,, 0,, 25.00
246436,, 400,, 0,, 25.00  ;;--;;  246436,, 400,, 0,, 25.00
246441,, 403,, 0,, 25.00  ;;--;;  246441,, 403,, 0,, 25.00
246447,, 400,, 0,, 25.00  ;;--;;  246447,, 400,, 0,, 25.00
246452,, 403,, 0,, 25.00  ;;--;;  246452,, 403,, 0,, 25.00
246457,, 403,, 0,, 25.00  ;;--;;  246457,, 403,, 0,, 25.00
246462,, 400,, 0,, 25.00  ;;--;;  246462,, 400,, 0,, 25.00
246467,, 403,, 0,, 25.00  ;;--;;  246467,, 403,, 0,, 25.00
246472,, 403,, 0,, 25.00  ;;--;;  246472,, 403,, 0,, 25.00
246477,, 403,, 0,, 25.00  ;;--;;  246477,, 403,, 0,, 25.00
246482,, 403,, 0,, 25.00  ;;--;;  246482,, 403,, 0,, 25.00
246487,, 403,, 0,, 25.00  ;;--;;  246487,, 403,, 0,, 25.00
246492,, 403,, 0,, 25.00  ;;--;;  246492,, 403,, 0,, 25.00
246497,, 403,, 0,, 25.00  ;;--;;  246497,, 403,, 0,, 25.00
246502,, 409,, 1,, 25.00  ;;--;;  246502,, 409,, 1,, 25.00
246507,, 403,, 0,, 25.00  ;;--;;  246507,, 403,, 0,, 25.00
246512,, 409,, 1,, 25.00  ;;--;;  246512,, 409,, 1,, 25.00
246517,, 403,, 0,, 25.00  ;;--;;  246517,, 403,, 0,, 25.00
246522,, 403,, 0,, 25.00  ;;--;;  246522,, 403,, 0,, 25.00
246527,, 400,, 0,, 25.00  ;;--;;  246527,, 400,, 0,, 25.00
246532,, 403,, 0,, 25.00  ;;--;;  246532,, 403,, 0,, 25.00
246537,, 403,, 0,, 25.00  ;;--;;  246537,, 403,, 0,, 25.00
246542,, 403,, 0,, 25.00  ;;--;;  246542,, 403,, 0,, 25.00
246608,, 403,, 0,, 25.00  ;;--;;  246608,, 403,, 0,, 25.00
246613,, 400,, 0,, 25.00  ;;--;;  246613,, 400,, 0,, 25.00
246618,, 400,, 0,, 25.00  ;;--;;  246618,, 400,, 0,, 25.00
246623,, 406,, 0,, 25.00  ;;--;;  246623,, 406,, 0,, 25.00
246628,, 400,, 0,, 25.00  ;;--;;  246628,, 400,, 0,, 25.00
246633,, 400,, 0,, 25.36  ;;--;;  246633,, 400,, 0,, 25.36
246638,, 400,, 0,, 25.00  ;;--;;  246638,, 400,, 0,, 25.00
246643,, 400,, 0,, 25.00  ;;--;;  246643,, 400,, 0,, 25.00
246648,, 400,, 0,, 25.00  ;;--;;  246648,, 400,, 0,, 25.00
246653,, 403,, 0,, 25.00  ;;--;;  246653,, 403,, 0,, 25.00
246658,, 403,, 0,, 25.00  ;;--;;  246658,, 403,, 0,, 25.00
246663,, 403,, 0,, 25.00  ;;--;;  246663,, 403,, 0,, 25.00
246668,, 400,, 0,, 25.00  ;;--;;  246668,, 400,, 0,, 25.00
246673,, 400,, 0,, 25.00  ;;--;;  246673,, 400,, 0,, 25.00
246678,, 400,, 0,, 25.00  ;;--;;  246678,, 400,, 0,, 25.00
246684,, 403,, 0,, 25.00  ;;--;;  246684,, 403,, 0,, 25.00
246689,, 400,, 0,, 25.36  ;;--;;  246689,, 400,, 0,, 25.36
246694,, 400,, 0,, 25.00  ;;--;;  246694,, 400,, 0,, 25.00
246699,, 402,, 0,, 25.00  ;;--;;  246699,, 402,, 0,, 25.00
246704,, 402,, 0,, 25.00  ;;--;;  246704,, 402,, 0,, 25.00
246709,, 402,, 0,, 25.00  ;;--;;  246709,, 402,, 0,, 25.00
246714,, 402,, 0,, 25.00  ;;--;;  246714,, 402,, 0,, 25.00
246719,, 402,, 0,, 25.00  ;;--;;  246719,, 402,, 0,, 25.00
246724,, 402,, 0,, 25.00  ;;--;;  246724,, 402,, 0,, 25.00
246729,, 402,, 0,, 25.00  ;;--;;  246729,, 402,, 0,, 25.00
246734,, 402,, 0,, 25.00  ;;--;;  246734,, 402,, 0,, 25.00
246739,, 402,, 0,, 25.00  ;;--;;  246739,, 402,, 0,, 25.00
246744,, 402,, 0,, 25.00  ;;--;;  246744,, 402,, 0,, 25.00
246749,, 402,, 0,, 25.00  ;;--;;  246749,, 402,, 0,, 25.00
