     Time    , ADC Output
1556902127.5, 1
1556902129.51, 1
1556902131.51, 0
1556902133.51, 1
1556902135.51, 0
1556902137.52, 0
1556902139.52, 1
1556902141.52, 0
1556902143.52, 0
1556902145.53, 1
1556902147.53, 1
1556902149.53, 1
1556902151.54, 1
1556902153.54, 1
1556902155.54, 0
1556902157.54, 0
1556902159.55, 0
1556902161.55, 0
1556902163.55, 0
1556902165.55, 1
1556902167.56, 1
1556902169.56, 1
1556902171.56, 1
1556902173.56, 1
1556902175.57, 1
1556902177.57, 0
1556902179.57, 1
1556902181.58, 0
1556902183.58, 1
1556902185.58, 1
1556902187.58, 1
1556902189.59, 1
1556902191.59, 0
1556902193.59, 0
1556902195.6, 0
1556902197.6, 0
1556902199.6, 0
1556902201.6, 0
1556902203.61, 1
1556902205.61, 1
1556902207.61, 1
1556902209.62, 1
1556902211.62, 1
1556902213.62, 1
1556902215.62, 1
1556902217.62, 1
1556902219.63, 1
1556902221.63, 1
1556902223.63, 1
1556902225.64, 1
1556902227.64, 1
1556902229.64, 1
1556902231.64, 1
1556902233.65, 0
1556902235.65, 0
1556902237.65, 1
1556902239.66, 0
1556902241.66, 1
1556902243.66, 1
1556902245.66, 1
1556902247.67, 1
1556902249.67, 1
1556902251.67, 1
1556902253.67, 1
1556902255.68, 1
1556902257.68, 1
1556902259.68, 1
1556902261.69, 1
1556902263.69, 1
1556902265.69, 0
1556902267.69, 1
1556902269.7, 1
1556902271.7, 1
1556902273.7, 1
1556902275.71, 1
1556902277.71, 1
1556902279.71, 1
1556902281.71, 1
1556902283.72, 0
1556902285.72, 0
1556902287.72, 0
1556902289.73, 1
1556902291.73, 1
1556902293.73, 1
1556902295.73, 0
1556902297.74, 1
1556902299.74, 0
1556902301.74, 1
1556902303.75, 1
1556902305.75, 0
1556902307.75, 1
1556902309.75, 1
1556902311.76, 1
1556902313.76, 0
1556902315.76, 0
1556902317.76, 1
1556902319.77, 1
1556902321.77, 0
1556902323.77, 1
1556902325.78, 0
1556902327.78, 0
1556902329.78, 0
1556902331.78, 0
1556902333.79, 0
1556902335.79, 1
1556902337.79, 0
1556902339.79, 1
1556902341.8, 0
1556902343.8, 0
1556902345.8, 0
1556902347.8, 1
1556902349.81, 1
1556902351.81, 1
1556902353.81, 1
1556902355.82, 1
1556902357.82, 1
1556902359.82, 0
1556902361.82, 0
1556902363.83, 1
1556902365.83, 0
1556902367.83, 1
1556902369.83, 1
1556902371.84, 1
1556902373.84, 1
1556902375.84, 0
1556902377.85, 0
1556902379.85, 1
1556902381.85, 1
1556902383.85, 1
1556902385.86, 1
1556902387.86, 0
1556902389.86, 1
1556902391.87, 1
1556902393.87, 1
1556902395.87, 1
1556902397.87, 1
1556902399.87, 0
1556902401.88, 0
1556902403.88, 0
1556902405.88, 1
1556902407.88, 1
1556902409.89, 0
1556902411.89, 1
1556902413.89, 0
1556902415.9, 1
1556902417.9, 1
1556902419.9, 0
1556902421.9, 0
1556902423.91, 1
1556902425.91, 1
1556902427.91, 0
1556902429.91, 1
1556902431.92, 1
1556902433.92, 1
1556902435.92, 1
1556902437.93, 1
1556902439.93, 0
1556902441.93, 1
1556902443.93, 0
1556902445.94, 1
1556902447.94, 1
1556902449.94, 1
1556902451.94, 1
1556902453.95, 1
1556902455.95, 0
1556902457.95, 0
1556902459.95, 0
1556902461.96, 1
1556902463.96, 1
1556902465.96, 0
1556902467.96, 1
1556902469.97, 0
1556902471.97, 1
1556902473.97, 1
1556902475.98, 1
1556902477.98, 0
1556902479.98, 1
1556902481.98, 1
1556902483.99, 1
1556902485.99, 1
1556902487.99, 0
1556902489.99, 1
1556902492.0, 1
1556902494.0, 1
1556902496.0, 0
1556902498.01, 0
1556902500.01, 1
1556902502.01, 0
1556902504.01, 1
1556902506.02, 1
1556902508.02, 1
1556902510.02, 1
1556902512.03, 1
1556902514.03, 0
1556902516.03, 0
1556902518.03, 1
1556902520.04, 1
1556902522.04, 1
1556902524.04, 1
1556902526.05, 1
1556902528.05, 1
1556902530.05, 0
1556902532.05, 0
1556902534.06, 0
1556902536.06, 0
1556902538.06, 1
1556902540.06, 1
1556902542.07, 1
1556902544.07, 1
1556902546.07, 1
1556902548.07, 1
1556902550.08, 0
1556902552.08, 1
1556902554.08, 1
1556902556.09, 1
1556902558.09, 0
1556902560.09, 0
1556902562.09, 0
1556902564.1, 1
1556902566.1, 1
1556902568.1, 0
1556902570.1, 1
1556902572.1, 1
1556902574.11, 1
1556902576.11, 1
1556902578.11, 1
1556902580.11, 0
1556902582.12, 0
1556902584.12, 0
1556902586.12, 1
1556902588.13, 0
1556902590.13, 1
1556902592.13, 0
1556902594.13, 0
1556902596.14, 0
1556902598.14, 1
1556902600.14, 1
1556902602.15, 1
1556902604.15, 1
1556902606.15, 0
1556902608.15, 1
1556902610.16, 1
1556902612.16, 1
1556902614.16, 1
1556902616.17, 1
1556902618.17, 0
1556902620.17, 1
1556902622.17, 1
1556902624.18, 1
1556902626.18, 1
1556902628.18, 1
1556902630.18, 1
1556902632.19, 0
1556902634.19, 0
1556902636.19, 0
1556902638.19, 1
1556902640.2, 1
1556902642.2, 1
1556902644.2, 1
1556902646.21, 0
1556902648.21, 1
1556902650.21, 0
1556902652.21, 0
1556902654.22, 1
1556902656.22, 1
1556902658.22, 0
1556902660.22, 1
1556902662.23, 0
1556902664.23, 0
1556902666.23, 1
1556902668.24, 1
1556902670.24, 0
1556902672.24, 1
1556902674.24, 1
1556902676.25, 1
1556902678.25, 1
1556902680.25, 1
1556902682.25, 1
1556902684.26, 1
1556902686.26, 1
1556902688.26, 1
1556902690.26, 0
1556902692.27, 0
1556902694.27, 1
1556902696.27, 0
1556902698.28, 1
1556902700.28, 1
1556902702.28, 0
1556902704.28, 1
1556902706.29, 1
1556902708.29, 1
1556902710.29, 1
1556902712.3, 0
1556902714.3, 1
1556902716.3, 0
1556902718.3, 1
1556902720.31, 0
1556902722.31, 1
1556902724.31, 0
1556902726.32, 1
1556902728.32, 1
1556902730.32, 1
1556902732.32, 1
1556902734.33, 1
1556902736.33, 1
1556902738.33, 0
1556902740.34, 0
1556902742.34, 1
1556902744.34, 0
1556902746.34, 0
1556902748.35, 1
1556902750.35, 1
1556902752.35, 1
1556902754.35, 0
1556902756.36, 0
1556902758.36, 0
1556902760.36, 1
1556902762.37, 1
1556902764.37, 1
1556902766.37, 0
1556902768.37, 0
1556902770.37, 1
1556902772.38, 0
1556902774.38, 1
1556902776.38, 1
1556902778.39, 1
1556902780.39, 1
1556902782.39, 1
1556902784.4, 1
1556902786.4, 1
1556902788.4, 1
1556902790.4, 0
1556902792.4, 0
1556902794.41, 0
1556902796.41, 1
1556902798.41, 0
1556902800.42, 1
1556902802.42, 1
1556902804.42, 0
1556902806.42, 1
1556902808.43, 1
1556902810.43, 1
1556902812.43, 1
1556902814.43, 1
1556902816.44, 0
1556902818.44, 1
1556902820.44, 1
1556902822.45, 0
1556902824.45, 1
1556902826.45, 0
1556902828.45, 0
1556902830.46, 1
1556902832.46, 0
1556902834.46, 0
1556902836.47, 1
1556902838.47, 1
1556902840.47, 0
1556902842.47, 1
1556902844.48, 1
1556902846.48, 0
1556902848.48, 1
1556902850.49, 1
1556902852.49, 0
1556902854.49, 0
1556902856.49, 0
1556902858.5, 1
1556902860.5, 0
1556902862.5, 0
1556902864.5, 1
1556902866.5, 1
1556902868.51, 1
1556902870.51, 1
1556902872.51, 0
1556902874.52, 1
1556902876.52, 1
1556902878.52, 1
1556902880.52, 0
1556902882.53, 1
1556902884.53, 1
1556902886.53, 0
1556902888.54, 1
1556902890.54, 1
1556902892.54, 1
1556902894.54, 0
1556902896.55, 1
1556902898.55, 0
1556902900.55, 0
1556902902.55, 0
1556902904.56, 1
1556902906.56, 0
1556902908.56, 0
1556902910.57, 1
1556902912.57, 0
1556902914.57, 1
1556902916.57, 1
1556902918.58, 1
1556902920.58, 1
1556902922.58, 1
1556902924.59, 1
1556902926.59, 1
1556902928.59, 1
1556902930.59, 1
1556902932.6, 0
1556902934.6, 0
1556902936.6, 1
1556902938.61, 1
1556902940.61, 0
1556902942.61, 0
1556902944.61, 0
1556902946.62, 0
1556902948.62, 1
1556902950.62, 1
1556902952.62, 1
1556902954.63, 1
1556902956.63, 1
1556902958.63, 0
1556902960.64, 0
1556902962.64, 1
1556902964.64, 1
1556902966.64, 1
1556902968.65, 1
1556902970.65, 0
1556902972.65, 0
1556902974.66, 1
1556902976.66, 1
1556902978.66, 1
1556902980.66, 1
1556902982.67, 0
1556902984.67, 1
1556902986.67, 0
1556902988.68, 0
1556902990.68, 0
1556902992.68, 1
1556902994.68, 1
1556902996.69, 1
1556902998.69, 1
1556903000.69, 1
1556903002.69, 1
1556903004.7, 0
1556903006.7, 1
1556903008.7, 1
1556903010.71, 0
1556903012.71, 1
1556903014.71, 1
1556903016.71, 1
1556903018.72, 1
1556903020.72, 0
1556903022.72, 0
1556903024.73, 1
1556903026.73, 1
1556903028.73, 1
1556903030.73, 1
1556903032.74, 1
1556903034.74, 1
1556903036.74, 0
1556903038.75, 0
1556903040.75, 0
1556903042.75, 1
1556903044.75, 1
1556903046.76, 0
1556903048.76, 1
1556903050.76, 0
1556903052.77, 0
1556903054.77, 0
1556903056.77, 1
1556903058.77, 1
1556903060.78, 1
1556903062.78, 1
1556903064.78, 0
1556903066.78, 1
1556903068.79, 0
1556903070.79, 1
1556903072.79, 0
1556903074.8, 0
1556903076.8, 1
1556903078.8, 0
1556903080.8, 0
1556903082.8, 0
