Time, CO2 (ppm), TVOC, Temp (C)
1557242146.57 , 432 , 4 , 25.0
1557242151.62 , 432 , 4 , 25.0
1557242156.67 , 435 , 5 , 25.0
1557242161.7 , 435 , 5 , 25.0
1557242166.75 , 432 , 4 , 25.0
1557242171.79 , 432 , 4 , 25.0
1557242176.84 , 424 , 3 , 25.0
1557242181.89 , 421 , 3 , 25.0
1557242186.94 , 424 , 3 , 25.0
1557242191.98 , 421 , 3 , 25.0
1557242197.03 , 421 , 3 , 25.0
1557242202.08 , 424 , 3 , 25.0
1557242207.11 , 424 , 3 , 25.0
1557242212.16 , 421 , 3 , 25.0
1557242217.2 , 421 , 3 , 25.0
1557242222.23 , 424 , 3 , 25.0
1557242227.28 , 421 , 3 , 25.0
1557242232.33 , 424 , 3 , 25.0
1557242237.38 , 424 , 3 , 25.0
1557242242.41 , 424 , 3 , 25.0
1557242247.46 , 435 , 5 , 25.0
1557242252.51 , 435 , 5 , 25.0
1557242257.57 , 441 , 6 , 25.0
1557242262.61 , 444 , 6 , 25.0
1557242267.66 , 444 , 6 , 25.0
1557242272.71 , 447 , 7 , 25.0
1557242277.75 , 447 , 7 , 25.0
1557242282.84 , 447 , 7 , 25.0
1557242287.89 , 444 , 6 , 25.0
1557242292.94 , 444 , 6 , 25.0
1557242297.97 , 444 , 6 , 25.0
1557242303.02 , 447 , 7 , 25.0
1557242308.11 , 447 , 7 , 25.0
1557242313.18 , 447 , 7 , 25.0
1557242318.23 , 447 , 7 , 25.0
1557242323.3 , 455 , 8 , 25.0
1557242328.33 , 472 , 10 , 25.0
1557242333.39 , 476 , 11 , 25.0
1557242338.44 , 472 , 10 , 25.3464772236
1557242343.49 , 472 , 10 , 25.3464772236
1557242348.54 , 476 , 11 , 25.0
1557242353.58 , 476 , 11 , 25.3464772236
1557242358.63 , 476 , 11 , 25.0
1557242363.68 , 481 , 12 , 25.3464772236
1557242368.73 , 472 , 10 , 25.3464772236
1557242373.76 , 463 , 9 , 25.3464772236
1557242378.81 , 463 , 9 , 25.3464772236
1557242383.85 , 459 , 8 , 25.3464772236
1557242388.9 , 472 , 10 , 25.3464772236
1557242393.95 , 472 , 10 , 25.0
1557242398.99 , 476 , 11 , 25.0
1557242404.04 , 481 , 12 , 25.0
1557242409.07 , 476 , 11 , 25.0
1557242414.12 , 476 , 11 , 25.0
1557242419.17 , 472 , 10 , 25.0
1557242424.21 , 472 , 10 , 25.0
1557242429.24 , 472 , 10 , 25.0
1557242434.29 , 463 , 9 , 25.0
1557242439.34 , 476 , 11 , 25.0
1557242444.39 , 476 , 11 , 25.0
1557242449.43 , 483 , 12 , 25.0
1557242454.48 , 481 , 12 , 25.0
1557242459.52 , 472 , 10 , 25.0
1557242464.57 , 476 , 11 , 25.0
1557242469.62 , 472 , 10 , 25.0
1557242474.68 , 481 , 12 , 25.0
1557242479.73 , 488 , 13 , 25.0
1557242484.78 , 497 , 14 , 25.0
1557242489.82 , 483 , 12 , 25.0
1557242494.87 , 463 , 9 , 25.0
1557242499.92 , 472 , 10 , 25.0
1557242504.99 , 463 , 9 , 25.0
1557242510.04 , 463 , 9 , 25.0
1557242515.08 , 459 , 8 , 25.0
1557242520.13 , 455 , 8 , 25.0
1557242525.22 , 455 , 8 , 113.242450783
1557242530.26 , 472 , 10 , 25.0
1557242535.33 , 481 , 12 , 25.0
1557242540.38 , 483 , 12 , 24.5449802774
1557242545.45 , 497 , 14 , 25.0
1557242550.54 , 488 , 13 , 24.5449802774
1557242555.59 , 488 , 13 , 24.5449802774
1557242560.64 , 500 , 15 , 24.5449802774
1557242565.67 , 500 , 15 , 25.0
1557242570.71 , 505 , 15 , 25.0
1557242575.81 , 505 , 15 , 25.0
1557242580.86 , 515 , 17 , 25.0
1557242585.89 , 515 , 17 , 25.0
1557242590.94 , 515 , 17 , 25.0
1557242595.98 , 505 , 15 , 25.0
1557242601.02 , 515 , 17 , 25.0
1557242606.06 , 515 , 17 , 25.0
1557242611.09 , 515 , 17 , 25.0
1557242616.14 , 515 , 17 , 25.0
1557242621.19 , 515 , 17 , 25.0
1557242626.22 , 515 , 17 , 25.0
1557242631.27 , 505 , 15 , 25.0
1557242636.32 , 515 , 17 , 25.0
1557242641.36 , 515 , 17 , 25.0
1557242646.39 , 505 , 15 , 24.5449802774
1557242651.43 , 505 , 15 , 25.0
1557242656.47 , 520 , 18 , 24.5449802774
1557242661.52 , 527 , 19 , 24.5449802774
1557242666.56 , 527 , 19 , 24.5449802774
1557242671.61 , 533 , 20 , 24.5449802774
1557242676.72 , 537 , 20 , 25.0
1557242681.77 , 533 , 20 , 24.5449802774
1557242686.8 , 527 , 19 , 24.5449802774
1557242691.85 , 527 , 19 , 25.0
1557242696.88 , 533 , 20 , 24.5449802774
1557242701.96 , 527 , 19 , 24.5449802774
1557242707.0 , 520 , 18 , 24.5449802774
1557242712.03 , 527 , 19 , 24.5449802774
1557242717.08 , 527 , 19 , 25.0
1557242722.12 , 520 , 18 , 24.5449802774
1557242727.17 , 515 , 17 , 24.5449802774
1557242732.22 , 505 , 15 , 24.5449802774
1557242737.25 , 505 , 15 , 24.5449802774
1557242742.28 , 505 , 15 , 24.5449802774
1557242747.31 , 500 , 15 , 24.5449802774
1557242752.36 , 505 , 15 , 24.5449802774
1557242757.41 , 505 , 15 , 24.5449802774
1557242762.44 , 500 , 15 , 24.5449802774
1557242767.49 , 500 , 15 , 25.0
1557242772.52 , 497 , 14 , 25.0
1557242777.56 , 497 , 14 , 24.5449802774
1557242782.61 , 500 , 15 , 25.0
1557242787.64 , 500 , 15 , 25.0
1557242792.7 , 505 , 15 , 25.0
1557242797.74 , 500 , 15 , 25.0
1557242802.8 , 505 , 15 , 25.0
1557242807.84 , 500 , 15 , 25.0
1557242812.91 , 497 , 14 , 25.0
1557242817.96 , 497 , 14 , 25.0
1557
